"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation","gene_name.x","ENTREZID","gene_locus","ALL_1_1","ALL_1_2","ALL_1_3","ALL_1_4","ALL_2_1","ALL_2_2","ALL_2_3","ALL_2_4"
"83","ENSG00000010256",22.9388653497239,-0.28516399643771,0.484675290248694,-0.588360913326918,0.556290067507135,0.999606199905259,"down","UQCRC1","7384","3:48599002-48610976",42.148312,25.104376,21.315113,17.6847,30.956278,24.812069,11.211566,14.53158
"84","ENSG00000010270",21.7144189528346,0.215059531662554,0.547930442543342,0.392494220004106,0.694693081225466,0.999606199905259,"up","STARD3NL","83930","7:38178222-38230671",21.763975,21.82542,26.148777,14.262871,35.391178,22.916454,5.945153,28.134733
"85","ENSG00000010278",134.478019850036,-0.655851269217447,1.11771829646326,-0.586776892972699,0.557353557678808,0.999606199905259,"down","CD9","928","12:6199715-6238271",259.380951,39.67609,294.724365,49.072659,29.029388,35.329666,2.847197,304.698944
"86","ENSG00000010292",11.3757558455346,-0.10400267651428,0.698053285497234,-0.148989595314629,0.881561843065009,0.999606199905259,"down","NCAPD2","9918","12:6493356-6531955",9.056745,19.282551,4.462749,21.072123,16.874407,9.877846,13.732034,2.218208
"87","ENSG00000010322",18.9302462189904,0.0588211912142028,0.597834833334214,0.0983903712772109,0.921622320190204,0.999606199905259,"up","NISCH","11188","3:52455118-52493068",16.502953,15.567203,7.714485,41.261677,12.776064,12.586505,27.820669,17.100662
"88","ENSG00000010404",14.8015422690277,0.064383413703729,0.571356275763543,0.112685230625478,0.910280110915678,0.999606199905259,"up","IDS","3423","X:149476988-149521096",17.299728,7.796917,22.385948,11.825654,9.787763,13.669811,19.314577,13.214811
"89","ENSG00000010671",39.3868337057739,-0.0435618660562233,0.526090653096974,-0.0828029652300123,0.934008211314411,0.999606199905259,"down","BTK","695","X:101349447-101390796",35.811169,72.441582,12.534827,57.544998,40.029018,44.286133,47.464695,17.597536
"90","ENSG00000010704",144.165490246532,0.177487068188328,0.500544452468264,0.354588023727186,0.72289824958306,0.999606199905259,"up","HFE","3077","6:26055686-26234979",234.047028,146.678757,129.587296,48.189697,164.913239,142.555298,147.403427,129.319077
"91","ENSG00000010803",19.0309149622631,0.293641031786285,0.600963098903423,0.488617408160486,0.6251125861936,0.999606199905259,"up","SCMH1","22955","1:41027200-41242154",13.355199,12.156827,8.499246,42.561169,17.299541,15.051142,26.165829,20.320604
"92","ENSG00000010810",19.3440842037094,-0.273169182015966,0.962893514881209,-0.283696148945054,0.77664324623021,0.999606199905259,"down","FYN","2534","6:111660332-111873452",14.480622,2.03034,33.375629,39.362602,2.079086,10.064743,14.419676,35.590996
"93","ENSG00000011052",22.9944844505708,-0.0933126393477258,0.971662152586873,-0.0960340372415432,0.923493539673543,0.999606199905259,"down","NME1-NME2","654364","17:51153590-51171744",11.559627,46.077038,36.432034,5.859726,36.900059,37.829964,0,16.507427
"94","ENSG00000011243",28.6480436280799,-0.170284457460814,0.607278017380999,-0.280406095045557,0.779165961380207,0.999606199905259,"down","AKAP8L","26993","19:15348867-15419141",27.454081,17.945873,45.990147,33.708847,14.965896,14.522996,46.0256,21.267141
"95","ENSG00000011258",12.7787229558107,0.186502008066764,0.454614995469075,0.41024165486299,0.681628687183093,0.999606199905259,"up","MBTD1","54799","17:51177425-51260163",10.929726,15.863393,8.505688,15.568215,14.139059,18.049093,8.594337,12.017715
"96","ENSG00000011260",10.1925606229168,-0.0569930531307015,0.512652844820072,-0.111172801841575,0.911479318899842,0.999606199905259,"down","UTP18","51096","17:51220404-51297936",13.219978,11.995205,11.399088,7.548014,12.554863,12.311359,7.171146,6.547476
"97","ENSG00000011275",24.6953911700073,0.183553441054057,0.405613489969552,0.452532880668824,0.650885139413843,0.999606199905259,"up","RNF216","54476","7:5620047-5781739",18.049664,25.603834,19.631191,36.187943,21.41235,26.431883,31.219812,20.877779
"98","ENSG00000011295",14.2840605072562,-0.206145983017008,0.48399536366953,-0.42592553253829,0.6701621093453,0.999606199905259,"down","TTC19","54902","17:15999784-16045015",12.653933,12.841989,22.074404,15.67041,13.683874,15.63343,12.698056,8.291216
"99","ENSG00000011304",26.5085451153179,0.623085482626266,0.619829605912495,1.00525285769301,0.314775108849287,0.999606199905259,"up","PTBP1","5725","19:753510-812327",24.60231,21.935984,16.510843,24.561562,20.868843,18.457386,63.633907,12.715488
"100","ENSG00000011422",37.8150936032213,0.890366715473063,0.820479651008165,1.08517830317793,0.277842691843471,0.999606199905259,"up","PLAUR","5329","19:43646095-43670547",34.60593,13.822944,49.320053,7.471529,130.345993,26.128935,35.051556,11.015959
"101","ENSG00000011426",9.6662543795018,-0.852396021355877,0.832771865659921,-1.02356486392634,0.306040848115291,0.999606199905259,"down","ANLN","54443","7:36389821-36453791",12.508559,16.353554,7.104661,19.348299,19.38076,7.261738,2.808904,0.24608
"102","ENSG00000011454",14.2296567510261,-0.0905862039578733,0.57299403344103,-0.158092752578716,0.874383711400471,0.999606199905259,"down","RABGAP1","23637","9:122894249-123104866",6.523154,13.571707,13.868449,28.624182,7.892958,15.654062,9.602373,17.944704
"103","ENSG00000011566",26.9556946626348,0.0695876658132772,0.568705024676594,0.122361615941146,0.90261263607174,0.999606199905259,"up","MAP4K3","8491","2:39249266-39437301",14.185889,15.710155,45.410786,33.960979,19.285906,25.288387,20.424854,39.058651
"104","ENSG00000011600",13.7574136394333,0.307549779216325,0.769315600382855,0.399770626077608,0.689325467661499,0.999606199905259,"up","TYROBP","7305","19:35904401-35908295",27.548164,11.626813,8.312656,3.190197,34.390038,13.309947,8.182717,6.741524
"105","ENSG00000012061",20.8282443304328,0.247393995168377,0.405029688432692,0.610804595894429,0.541328950454562,0.999606199905259,"up","ERCC1","2067","19:45407333-45478828",23.719807,21.96748,12.421106,23.983406,24.255827,18.389191,20.457716,24.299316
"106","ENSG00000012124",47.6494610831675,-0.341712199281052,0.83726738463383,-0.408127923710412,0.683179760418216,0.999606199905259,"down","CD22","933","19:35319261-35347361",12.539806,26.172775,72.558418,117.004913,29.798698,13.972982,91.736153,13.746704
"107","ENSG00000012223",105.796838248166,-0.676793521036512,0.907741966630731,-0.745579190911013,0.455921657107688,0.999606199905259,"down","LTF","4057","3:46435645-46485234",250.548523,94.0439,159.023438,18.017452,88.746048,33.235573,166.611481,10.028949
"108","ENSG00000012660",27.8852562763299,-0.780312118456011,0.700061940359402,-1.11463296812766,0.265007736612446,0.999606199905259,"down","ELOVL5","60481","6:53267398-53349179",60.743969,8.319178,48.913658,22.982241,19.779865,10.350703,23.461702,22.735565
"109","ENSG00000012779",25.4153635034489,1.32035951138954,0.771208353569069,1.71206588372528,0.0868845276602958,0.999606199905259,"up","ALOX5","240","10:45374176-45446119",9.367357,2.098064,18.117565,33.229595,20.41774,25.303057,24.266817,63.818249
"110","ENSG00000012822",18.9361179665597,0.444523866131663,0.576198617401397,0.771476801066314,0.440424367992784,0.999606199905259,"up","CALCOCO1","57658","12:53708517-53727745",14.066683,18.16474,10.422984,28.318857,11.105371,11.960079,27.992451,27.933634
"111","ENSG00000012963",10.3266123026005,0.0315030525535278,0.638585737229889,0.049332533936922,0.960654292740811,0.999606199905259,"up","UBR7","55148","14:93207241-93229215",8.082005,17.880159,7.732574,10.604177,20.800531,13.897414,2.569223,5.305496
